"Domain","SamAccountName","AccountType","JobCode","GroupName","GroupCategory","GroupScope","NestedDepth","ViaGroup"
"harddollar.local","IUSR_MAIL","ServiceAccount",,"Guests","Security","DomainLocal","1",
"harddollar.local","glassceiling","ServiceAccount",,"Administrators","Security","DomainLocal","1",
"harddollar.local","IWAM_MAIL","ServiceAccount",,"IIS_WPG","Security","DomainLocal","1",
"harddollar.local","IWAM_TRAX","ServiceAccount",,"IIS_WPG","Security","DomainLocal","1",
"harddollar.local","user7","ServiceAccount",,"User GPO Exceptions","Security","Global","1",
"harddollar.local","user7","ServiceAccount",,"TrainingRoom","Security","Universal","1",
"harddollar.local","user4","ServiceAccount",,"User GPO Exceptions","Security","Global","1",
"harddollar.local","user4","ServiceAccount",,"TrainingRoom","Security","Universal","1",
"harddollar.local","user8","ServiceAccount",,"User GPO Exceptions","Security","Global","1",
"harddollar.local","user8","ServiceAccount",,"TrainingRoom","Security","Universal","1",
"harddollar.local","User5","ServiceAccount",,"User GPO Exceptions","Security","Global","1",
"harddollar.local","User5","ServiceAccount",,"TrainingRoom","Security","Universal","1",
"harddollar.local","user6","ServiceAccount",,"User GPO Exceptions","Security","Global","1",
"harddollar.local","user6","ServiceAccount",,"TrainingRoom","Security","Universal","1",
"harddollar.local","user9","ServiceAccount",,"User GPO Exceptions","Security","Global","1",
"harddollar.local","user9","ServiceAccount",,"TrainingRoom","Security","Universal","1",
"harddollar.local","User3","ServiceAccount",,"User GPO Exceptions","Security","Global","1",
"harddollar.local","User3","ServiceAccount",,"TrainingRoom","Security","Universal","1",
"harddollar.local","user13","ServiceAccount",,"User GPO Exceptions","Security","Global","1",
"harddollar.local","user13","ServiceAccount",,"TrainingRoom","Security","Universal","1",
"harddollar.local","user25","ServiceAccount",,"User GPO Exceptions","Security","Global","1",
"harddollar.local","user25","ServiceAccount",,"TrainingRoom","Security","Universal","1",
"harddollar.local","user15","ServiceAccount",,"User GPO Exceptions","Security","Global","1",
"harddollar.local","user15","ServiceAccount",,"TrainingRoom","Security","Universal","1",
"harddollar.local","user24","ServiceAccount",,"User GPO Exceptions","Security","Global","1",
"harddollar.local","user24","ServiceAccount",,"TrainingRoom","Security","Universal","1",
"harddollar.local","user23","ServiceAccount",,"User GPO Exceptions","Security","Global","1",
"harddollar.local","user23","ServiceAccount",,"TrainingRoom","Security","Universal","1",
"harddollar.local","user14","ServiceAccount",,"User GPO Exceptions","Security","Global","1",
"harddollar.local","user14","ServiceAccount",,"TrainingRoom","Security","Universal","1",
"harddollar.local","user16","ServiceAccount",,"User GPO Exceptions","Security","Global","1",
"harddollar.local","user16","ServiceAccount",,"TrainingRoom","Security","Universal","1",
"harddollar.local","user12","ServiceAccount",,"User GPO Exceptions","Security","Global","1",
"harddollar.local","user12","ServiceAccount",,"TrainingRoom","Security","Universal","1",
"harddollar.local","user21","ServiceAccount",,"User GPO Exceptions","Security","Global","1",
"harddollar.local","user21","ServiceAccount",,"TrainingRoom","Security","Universal","1",
"harddollar.local","user11","ServiceAccount",,"User GPO Exceptions","Security","Global","1",
"harddollar.local","user11","ServiceAccount",,"TrainingRoom","Security","Universal","1",
"harddollar.local","user17","ServiceAccount",,"User GPO Exceptions","Security","Global","1",
"harddollar.local","user17","ServiceAccount",,"TrainingRoom","Security","Universal","1",
"harddollar.local","user22","ServiceAccount",,"User GPO Exceptions","Security","Global","1",
"harddollar.local","user22","ServiceAccount",,"TrainingRoom","Security","Universal","1",
"harddollar.local","user18","ServiceAccount",,"User GPO Exceptions","Security","Global","1",
"harddollar.local","user18","ServiceAccount",,"TrainingRoom","Security","Universal","1",
"harddollar.local","User.26","ServiceAccount",,"User GPO Exceptions","Security","Global","1",
"harddollar.local","User.26","ServiceAccount",,"TrainingRoom","Security","Universal","1",
"harddollar.local","User.28","ServiceAccount",,"User GPO Exceptions","Security","Global","1",
"harddollar.local","User.28","ServiceAccount",,"TrainingRoom","Security","Universal","1",
"harddollar.local","User.30","ServiceAccount",,"User GPO Exceptions","Security","Global","1",
"harddollar.local","User.30","ServiceAccount",,"TrainingRoom","Security","Universal","1",
"harddollar.local","User.33","ServiceAccount",,"User GPO Exceptions","Security","Global","1",
"harddollar.local","User.33","ServiceAccount",,"TrainingRoom","Security","Universal","1",
"harddollar.local","User20","ServiceAccount",,"User GPO Exceptions","Security","Global","1",
"harddollar.local","User20","ServiceAccount",,"TrainingRoom","Security","Universal","1",
"harddollar.local","User.31","ServiceAccount",,"User GPO Exceptions","Security","Global","1",
"harddollar.local","User.31","ServiceAccount",,"TrainingRoom","Security","Universal","1",
"harddollar.local","User.32","ServiceAccount",,"User GPO Exceptions","Security","Global","1",
"harddollar.local","User.32","ServiceAccount",,"TrainingRoom","Security","Universal","1",
"harddollar.local","User19","ServiceAccount",,"User GPO Exceptions","Security","Global","1",
"harddollar.local","User19","ServiceAccount",,"TrainingRoom","Security","Universal","1",
"harddollar.local","User.29","ServiceAccount",,"User GPO Exceptions","Security","Global","1",
"harddollar.local","User.29","ServiceAccount",,"TrainingRoom","Security","Universal","1",
"harddollar.local","User.27","ServiceAccount",,"User GPO Exceptions","Security","Global","1",
"harddollar.local","User.27","ServiceAccount",,"TrainingRoom","Security","Universal","1",
"harddollar.local","ineight.training.06","ServiceAccount",,"User GPO Exceptions","Security","Global","1",
"harddollar.local","ineight.training.06","ServiceAccount",,"TrainingRoom","Security","Universal","1",
"harddollar.local","ineight.training.12","ServiceAccount",,"User GPO Exceptions","Security","Global","1",
"harddollar.local","ineight.training.12","ServiceAccount",,"TrainingRoom","Security","Universal","1",
"harddollar.local","ineight.training.04","ServiceAccount",,"User GPO Exceptions","Security","Global","1",
"harddollar.local","ineight.training.04","ServiceAccount",,"TrainingRoom","Security","Universal","1",
"harddollar.local","InEight.Training.02","ServiceAccount",,"User GPO Exceptions","Security","Global","1",
"harddollar.local","InEight.Training.02","ServiceAccount",,"TrainingRoom","Security","Universal","1",
"harddollar.local","InEight.Training.01","ServiceAccount",,"User GPO Exceptions","Security","Global","1",
"harddollar.local","InEight.Training.01","ServiceAccount",,"TrainingRoom","Security","Universal","1",
"harddollar.local","ineight.training.07","ServiceAccount",,"User GPO Exceptions","Security","Global","1",
"harddollar.local","ineight.training.07","ServiceAccount",,"TrainingRoom","Security","Universal","1",
"harddollar.local","ineight.training.05","ServiceAccount",,"User GPO Exceptions","Security","Global","1",
"harddollar.local","ineight.training.05","ServiceAccount",,"TrainingRoom","Security","Universal","1",
"harddollar.local","ineight.training.08","ServiceAccount",,"User GPO Exceptions","Security","Global","1",
"harddollar.local","ineight.training.08","ServiceAccount",,"TrainingRoom","Security","Universal","1",
"harddollar.local","ineight.training.10","ServiceAccount",,"User GPO Exceptions","Security","Global","1",
"harddollar.local","ineight.training.10","ServiceAccount",,"TrainingRoom","Security","Universal","1",
"harddollar.local","ineight.training.03","ServiceAccount",,"User GPO Exceptions","Security","Global","1",
"harddollar.local","ineight.training.03","ServiceAccount",,"TrainingRoom","Security","Universal","1",
"harddollar.local","ineight.training.11","ServiceAccount",,"User GPO Exceptions","Security","Global","1",
"harddollar.local","ineight.training.11","ServiceAccount",,"TrainingRoom","Security","Universal","1",
"harddollar.local","ineight.training.09","ServiceAccount",,"User GPO Exceptions","Security","Global","1",
